CG beads number:   49,  the thread number:   16
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread: 4,  step: 13000,     T: 49.0,    Energy: 175.572220 kcal/mol
thread: 11,  step: 13000,     T:102.0,    Energy: 183.415771 kcal/mol
thread: 10,  step: 13000,     T: 94.0,    Energy: 164.947662 kcal/mol
thread: 13,  step: 13000,     T:120.0,    Energy: 155.527069 kcal/mol
thread: 5,  step: 13000,     T: 55.0,    Energy: 174.771576 kcal/mol
thread: 12,  step: 13000,     T:110.0,    Energy: 158.320099 kcal/mol
thread: 0,  step: 13000,     T: 25.0,    Energy: 173.662735 kcal/mol
thread: 1,  step: 13000,     T: 31.0,    Energy: 182.160126 kcal/mol
thread: 8,  step: 12000,     T: 78.0,    Energy: 168.515015 kcal/mol
thread: 9,  step: 13000,     T: 86.0,    Energy: 163.264267 kcal/mol
thread: 15,  step: 14000,     T:  0.0,    Energy: 165.881973 kcal/mol
thread: 2,  step: 13000,     T: 37.0,    Energy: 196.479401 kcal/mol
thread: 3,  step: 13000,     T: 43.0,    Energy: 177.918198 kcal/mol
thread: 4,  step: 14000,     T: 49.0,    Energy: 167.222443 kcal/mol
thread: 14,  step: 14000,     T:130.0,    Energy: 157.239807 kcal/mol
thread: 6,  step: 13000,     T: 63.0,    Energy: 177.408249 kcal/mol
thread: 11,  step: 14000,     T:102.0,    Energy: 168.378540 kcal/mol
thread: 7,  step: 13000,     T: 71.0,    Energy: 195.455551 kcal/mol
thread: 13,  step: 14000,     T:120.0,    Energy: 157.611267 kcal/mol
thread: 10,  step: 14000,     T: 94.0,    Energy: 149.060226 kcal/mol
thread: 5,  step: 14000,     T: 55.0,    Energy: 179.685776 kcal/mol
thread: 12,  step: 14000,     T:110.0,    Energy: 159.537170 kcal/mol
thread: 0,  step: 14000,     T: 25.0,    Energy: 147.655273 kcal/mol
thread: 1,  step: 14000,     T: 31.0,    Energy: 158.276154 kcal/mol
thread: 9,  step: 14000,     T: 86.0,    Energy: 145.913834 kcal/mol
thread: 8,  step: 13000,     T: 78.0,    Energy: 152.393295 kcal/mol
thread: 15,  step: 15000,     T:  0.0,    Energy: 143.745438 kcal/mol
thread: 4,  step: 15000,     T: 49.0,    Energy: 170.912674 kcal/mol
thread: 14,  step: 15000,     T:130.0,    Energy: 182.559998 kcal/mol
thread: 2,  step: 14000,     T: 37.0,    Energy: 197.684982 kcal/mol
thread: 11,  step: 15000,     T:102.0,    Energy: 154.677948 kcal/mol
thread: 3,  step: 14000,     T: 43.0,    Energy: 155.688522 kcal/mol
